commit,faults,path,ImplicitDefinitions,ImplicitConversions,ImplicitParameters,OverridingPatternVariables,UsageOfNull,UnitVariables,FunctionVariables,NumberOfReturns
HEAD,0,package zio - object ChunkBuilder - class Float,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ChunkBuilder - class Int,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ChunkBuilder - class Long,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ChunkBuilder - class Short,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package internal - class Tracing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package internal - object Tracing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chunks - class ChunkCreationBenchmarks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package internal - class MergeAllParBenchmark,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
HEAD,0,package zio - trait ChunkPlatformSpecific,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - trait ChunkPlatformSpecific - object Tags,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package internal - class RoundtripBenchmark,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HEAD,0,package zio - trait ChunkLike,6.0,0.0,1.0,0.0,3.0,0.0,6.0,0.0
HEAD,0,package zio - object ChunkLike,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,2,package zio - object RIO,31.0,0.0,21.0,0.0,0.0,0.0,70.0,0.0
HEAD,0,package tracing - class TracingConfig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package tracing - object TracingConfig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package fix - object CurriedAssert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package stm - class TArray,2.0,8.0,3.0,1.0,2.0,2.0,27.0,0.0
HEAD,0,package stm - object TArray,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package zio - object Ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package clock - trait PlatformSpecific,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HEAD,0,package clock - trait PlatformSpecific - <$anon: zio.internal.Scheduler>,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HEAD,0,package clock - trait PlatformSpecific - <$anon: zio.internal.Scheduler> - method schedule - <$anon: Runnable>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package internal - class OneElementQueueConcBenchmark,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HEAD,0,package internal - object OneElementQueueConcBenchmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package internal - object OneElementQueueConcBenchmark - class PollCounters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package internal - object OneElementQueueConcBenchmark - class OfferCounters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
