commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmScoreFraction
HEAD,0,package artery - class PlotResult - method add,1.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
HEAD,0,package artery - class PlotResult - method addAll,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
HEAD,0,package artery - class PlotResult - method csvLabels,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,0,package artery - class PlotResult - method csvValues,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,0,package artery - class PlotResult - method csv,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package javadsl - object StreamConverters - method fromOutputStream,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package javadsl - object StreamConverters - method fromOutputStream,1.0,0.0,4.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0
HEAD,0,package javadsl - object StreamConverters - method asInputStream,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
HEAD,0,package javadsl - object StreamConverters - method asInputStream,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
HEAD,0,package javadsl - object StreamConverters - method asInputStream,1.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
HEAD,0,package javadsl - object StreamConverters - method fromInputStream,1.0,0.0,4.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0
HEAD,0,package javadsl - object StreamConverters - method fromInputStream,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package javadsl - object StreamConverters - method asOutputStream,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
HEAD,0,package javadsl - object StreamConverters - method asOutputStream,1.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
HEAD,0,package javadsl - object StreamConverters - method asOutputStream,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
HEAD,0,package javadsl - object StreamConverters - method asJavaStream,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
HEAD,0,package javadsl - object StreamConverters - method fromJavaStream,1.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0
HEAD,0,package javadsl - object StreamConverters - method javaCollector,1.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0
HEAD,0,package javadsl - object StreamConverters - method javaCollectorParallelUnordered,1.0,0.0,6.0,6.0,0.0,0.0,6.0,5.0,0.0,0.0,1.0
