commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmScoreFraction
HEAD,0,package quotation - trait Parsing - method operationParser - object operator,7.0,1.0,8.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,1,package context - class ActionMacro,38.0,0.0,38.0,3.0,5.0,95.0,47.0,0.0,0.0,0.0,31.0,15.0,2.142857142857143,5.0,4.428571428571429,3.2857142857142856,11.857142857142858,2.7142857142857144,0.5714285714285714
HEAD,1,package quotation - trait Unliftables,37.0,1.0,38.0,0.0,1.0,130.0,36.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,1,package mysql - trait FinagleMysqlDecoders,51.0,1.0,51.0,0.0,3.0,85.0,64.0,0.0,0.0,1.0,16.0,5.0,1.6666666666666667,1.6666666666666667,4.666666666666667,4.666666666666667,1.0,0.3333333333333333,1.0
HEAD,0,package mysql - trait FinagleMysqlDecoders - class FinangleMysqlDecoder,5.0,1.0,6.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
HEAD,1,package getquill - class MysqlAsyncContext,7.0,0.0,7.0,6.0,1.0,14.0,11.0,0.0,0.0,0.0,2.0,3.0,3.0,7.0,4.0,4.0,5.0,1.0,1.0
HEAD,1,package mysql - trait FinagleMysqlEncoders,34.0,1.0,34.0,0.0,4.0,42.0,42.0,0.0,0.0,1.0,10.0,6.0,1.5,1.0,2.5,2.5,1.5,0.25,1.0
HEAD,0,package mysql - trait FinagleMysqlEncoders - class FinangleMySqlEncoder,6.0,1.0,7.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
HEAD,1,package async - trait Encoders,39.0,2.0,39.0,0.0,3.0,61.0,61.0,0.0,0.0,1.0,17.0,6.0,1.5,1.0,4.5,3.5,1.5,0.25,1.0
HEAD,0,package async - trait Encoders - class AsyncEncoder,7.0,1.0,8.0,2.0,1.0,5.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
HEAD,0,package async - trait Encoders - method encoder - <$anon: (Encoders.this.Index  T  Encoders.this.PrepareRow) => Encoders.this.PrepareRow>,5.0,0.0,5.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,0,package async - trait Encoders - method mappedEncoder - <$anon: (Encoders.this.Index  I  Encoders.this.PrepareRow) => Encoders.this.PrepareRow>,8.0,0.0,8.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,0,package async - trait Encoders - method optionEncoder - <$anon: (Encoders.this.Index  Option[T]  Encoders.this.PrepareRow) => Encoders.this.PrepareRow>,10.0,0.0,10.0,1.0,1.0,8.0,8.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,3.0,2.0,6.0,1.0,1.0
HEAD,1,package getquill - class PostgresAsyncContext,4.0,0.0,4.0,6.0,2.0,10.0,7.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5
HEAD,1,package sql - trait SqlContext,4.0,6.0,9.0,4.0,2.0,30.0,30.0,0.0,0.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Decoders,76.0,1.0,76.0,0.0,3.0,138.0,106.0,0.0,0.0,1.0,32.0,8.0,2.6666666666666665,4.666666666666667,7.333333333333333,6.333333333333333,5.333333333333333,1.3333333333333333,1.0
HEAD,0,package async - trait Decoders - class AsyncDecoder,6.0,1.0,7.0,2.0,1.0,5.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
HEAD,1,package async - trait Decoders - method decoder - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => T>,14.0,0.0,14.0,1.0,1.0,12.0,12.0,0.0,0.0,0.0,9.0,4.0,4.0,9.0,8.0,8.0,13.0,3.0,1.0
HEAD,0,package async - trait Decoders - method mappedDecoder - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => O>,7.0,0.0,7.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,1,package async - trait Decoders - trait NumericDecoder,23.0,6.0,29.0,1.0,1.0,15.0,15.0,0.0,0.0,0.0,5.0,10.0,5.0,3.5,5.5,2.5,15.0,4.0,1.0
HEAD,1,package async - trait Decoders - method optionDecoder - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => Option[T]>,9.0,0.0,9.0,1.0,1.0,8.0,8.0,0.0,0.0,0.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,1.0
HEAD,0,package async - trait Decoders - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => BigDecimal>,7.0,0.0,7.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,0,package async - trait Decoders - <$anon: (Decoders.this.Index  Decoders.this.ResultRow) => Int>,4.0,0.0,4.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
