commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,0,package http4s - package client - class DefaultClient - method successful,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method successful,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package client - class DefaultClient - method get,1.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method get,1.0,0.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method defaultOnError,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package server - object ContextMiddleware - method apply,1.0,0.0,3.0,3.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package server - object ContextMiddleware - method const,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package fix - class v0_21 - method fix,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,1,package http4s - package server - package blaze - class Http2NodeStage - method name,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package server - package blaze - class Http2NodeStage - method stageStartup,1.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,-1.0
HEAD,1,package http4s - package server - package blaze - class Http2NodeStage - method initIdleTimeout,5.0,10.0,16.0,16.0,0.0,0.0,11.0,2.0,12.0,2.0,1.0,0.15
HEAD,0,package http4s - package server - package blaze - class Http2NodeStage - method readHeaders,5.0,7.0,14.0,14.0,0.0,0.0,21.0,2.0,21.0,4.0,1.0,-0.3658536585365853
HEAD,0,package http4s - package server - package blaze - class Http2NodeStage - method getBody,9.0,9.0,45.0,42.0,3.0,0.06666666666666667,68.0,3.0,28.0,5.0,1.0,0.8771929824561404
HEAD,2,package http4s - package server - package blaze - class Http2NodeStage - method checkAndRunRequest,33.0,13.0,77.0,75.0,3.0,0.038461538461538464,101.0,15.0,96.0,17.0,1.0,-0.5081967213114754
HEAD,1,package http4s - package server - package blaze - class Http2NodeStage - method checkAndRunRequest - <$anon: Runnable> - method run,3.0,9.0,11.0,11.0,0.0,0.0,18.0,2.0,7.0,1.0,1.0,0.6666666666666667
HEAD,0,package http4s - package server - package blaze - class Http2NodeStage - method renderResponse,5.0,3.0,19.0,16.0,3.0,0.15789473684210525,21.0,6.0,11.0,1.0,1.0,-0.05263157894736842
HEAD,0,package http4s - package headers - object Content-Location - method parse,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - class Content-Location - method key,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - class Content-Location - method value,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - class Content-Location - method renderValue,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - object Strict-Transport-Security - method fromLong,2.0,0.0,10.0,9.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - object Strict-Transport-Security - method unsafeFromDuration,1.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package headers - object Strict-Transport-Security - method unsafeFromLong,1.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package headers - object Strict-Transport-Security - method parse,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - class Strict-Transport-Security - method key,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - class Strict-Transport-Security - method renderValue,3.0,0.0,6.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,-1.0
HEAD,0,package http4s - package headers - class Strict-Transport-Security - method withIncludeSubDomains,1.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - class Strict-Transport-Security - method withPreload,1.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package blaze - object BlazeExample - method run,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package blaze - object BlazeExampleApp - method httpApp,1.0,0.0,4.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package blaze - object BlazeExampleApp - method resource,2.0,10.0,9.0,9.0,0.0,0.0,10.0,4.0,7.0,2.0,1.0,1.0
HEAD,0,package http4s - package server - package blaze - class BlazeBuilder - method copy,1.0,0.0,32.0,32.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package server - package blaze - class BlazeBuilder - method withLengthLimits,1.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package server - package blaze - class BlazeBuilder - method withSSL,1.0,0.0,9.0,9.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package server - package blaze - class BlazeBuilder - method withSSLContext,1.0,0.0,4.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package server - package blaze - class BlazeBuilder - method bindSocketAddress,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
HEAD,1,package http4s - package server - package blaze - class BlazeBuilder - method withExecutionContext,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package server - package blaze - class BlazeBuilder - method withIdleTimeout,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package server - package blaze - class BlazeBuilder - method withConnectorPoolSize,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package server - package blaze - class BlazeBuilder - method withBufferSize,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package server - package blaze - class BlazeBuilder - method withNio2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package server - package blaze - class BlazeBuilder - method withWebSockets,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package server - package blaze - class BlazeBuilder - method enableHttp2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package server - package blaze - class BlazeBuilder - method mountService,3.0,0.0,11.0,11.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package server - package blaze - class BlazeBuilder - method withServiceErrorHandler,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
