commit,faults,path,NumberOfLambdaFunctions,SourceLinesOfLambda,LambdaScore,LambdaFunctionsUsingOuterVariables,LambdaFunctionsUsingInnerVariables,LambdaFunctionsWithSideEffects,LambdaFunctionsWithAssignment
HEAD,0,package zio - object Chunk - class FloatArray,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object Chunk - class ShortArray,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object Chunk - class BooleanArray,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package zio - package random - package object random,38.0,55.0,0.3125,0.0,0.0,6.0,0.0
HEAD,1,package zio - package random - package object random - object Random,21.0,38.0,0.2714285714285714,0.0,0.0,6.0,0.0
HEAD,0,package zio - package random - package object random - object Random - trait Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - package random - package object random - object Random - object Service,3.0,3.0,0.06818181818181818,0.0,0.0,0.0,0.0
HEAD,0,package zio - package random - package object random - object Random - object Service - <$anon: zio.random.Random.Service>,3.0,3.0,0.07317073170731707,0.0,0.0,0.0,0.0
HEAD,0,package zio - class Reservation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - class ZManaged,181.0,237.0,0.5021186440677966,0.0,0.0,3.0,0.0
HEAD,1,package zio - object ZManaged,160.0,213.0,0.41682974559686886,0.0,0.0,3.0,0.0
HEAD,0,package zio - object ZManaged - class AccessPartiallyApplied,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - class AccessMPartiallyApplied,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - class AccessManagedPartiallyApplied,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - object Finalizer,1.0,1.0,0.25,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - class IfM,1.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - class ProvideSomeLayer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - class UnlessM,1.0,1.0,0.25,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - class UpdateService,1.0,1.0,0.25,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - class WhenM,1.0,1.0,0.25,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - trait ReleaseMap,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package zio - object ZManaged - object ReleaseMap,18.0,74.0,0.8314606741573034,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - object ReleaseMap - method make - class State,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - object ReleaseMap - method make - class Exited,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - object ReleaseMap - method make - class Running,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package zio - object ZManaged - object ReleaseMap - method make - <$anon: zio.ZManaged.ReleaseMap>,16.0,62.0,0.8611111111111112,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - method apply - <$anon: zio.ZManaged[R E A]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - trait PreallocationScope,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - <$anon: zio.ZManaged.PreallocationScope>,2.0,4.0,0.5714285714285714,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - trait Scope,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - <$anon: zio.ZManaged.Scope>,2.0,3.0,0.42857142857142855,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - class RefineToOrDieOps,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package zio - object UIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package zio - object Task,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package zio - object RIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package zio - trait ZIO,250.0,285.0,0.3825503355704698,0.0,0.0,10.0,0.0
HEAD,1,package zio - object ZIO,232.0,304.0,0.3076923076923077,0.0,0.0,40.0,0.0
HEAD,0,package zio - object ZIO - method fromFutureInterrupt - <$anon: scala.concurrent.ExecutionContext>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - method reduceAllPar - method prepend - <$anon: Iterable[Z]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - method reduceAllParN - method prepend - <$anon: Iterable[Z]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - method replicate - <$anon: Iterable[zio.ZIO[R E A]]>,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class ZIOAutoCloseableOps,1.0,1.0,0.2,0.0,0.0,1.0,0.0
HEAD,0,package zio - object ZIO - class ZioRefineToOrDieOps,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class ProvideSomeLayer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class UpdateService,1.0,1.0,0.25,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - trait CanFilter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - object CanFilter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - object CanFilter - method canFilter - <$anon: zio.ZIO.CanFilter[E]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class ZIOWithFilterOps,1.0,3.0,0.42857142857142855,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class Grafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class InterruptStatusRestore,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class IfM,1.0,1.0,0.25,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class UnlessM,1.0,1.0,0.25,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class WhenM,1.0,1.0,0.25,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class TimeoutTo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class BracketAcquire_,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class BracketRelease_,2.0,1.0,0.2,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class BracketAcquire,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class BracketRelease,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class BracketExitAcquire,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class BracketExitRelease,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class AccessPartiallyApplied,1.0,1.0,0.25,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class AccessMPartiallyApplied,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class ZipLeftFn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class ZipRightFn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class TapFn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class MapFn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class ConstZIOFn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class ForkScopeRestore,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZIO - class ConstFn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
