commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,0,package scio - class ScioContext - method onClose,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,-0.14285714285714285
HEAD,0,package scio - class ScioContext - method setAppName,2.0,0.0,6.0,6.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,-0.7142857142857143
HEAD,0,package scio - class ScioContext - method setJobName,2.0,0.0,6.0,6.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,-1.0
HEAD,0,package scio - class ScioContext - method run,2.0,0.0,16.0,16.0,0.0,0.0,16.0,14.0,0.0,0.0,1.0,-0.2
HEAD,0,package scio - class ScioContext - method execute,6.0,2.0,49.0,46.0,2.0,0.041666666666666664,24.0,11.0,7.0,1.0,1.0,0.5185185185185186
HEAD,0,package scio - class ScioContext - method execute - <$anon: com.spotify.scio.ScioExecutionContext> - method isCompleted,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - class ScioContext - method execute - <$anon: com.spotify.scio.ScioExecutionContext> - method state,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - class ScioContext - method execute - <$anon: com.spotify.scio.ScioExecutionContext> - method waitUntilFinish,5.0,2.0,31.0,28.0,2.0,0.06666666666666667,13.0,9.0,7.0,1.0,1.0,0.13043478260869568
HEAD,0,package scio - class ScioContext - method execute - <$anon: com.spotify.scio.ScioExecutionContext> - method waitUntilFinish - <$anon: com.spotify.scio.ScioResult> - method getMetrics,1.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - class ScioContext - method execute - <$anon: com.spotify.scio.ScioExecutionContext> - method waitUntilFinish - <$anon: com.spotify.scio.ScioResult> - method isTest,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - class ScioContext - method execute - <$anon: com.spotify.scio.ScioExecutionContext> - method waitUntilDone,2.0,0.0,7.0,7.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,-1.0
HEAD,0,package scio - class ScioContext - method isClosed,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
HEAD,0,package scio - class ScioContext - method requireNotClosed,1.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0
HEAD,0,package scio - class ScioContext - method isTest,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - class ScioContext - method applyInternal,1.0,0.0,5.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - class ScioContext - method applyInternal,1.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - class ScioContext - method applyInternal,1.0,0.0,5.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - class ScioContext - method datastore,1.0,0.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - class ScioContext - method pubsubIn,1.0,0.0,9.0,9.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,1.0
HEAD,0,package scio - class ScioContext - method pubsubSubscription,1.0,0.0,6.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package scio - class ScioContext - method pubsubTopic,1.0,0.0,6.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package scio - class ScioContext - method pubsubInWithAttributes,1.0,0.0,9.0,9.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,1.0
HEAD,0,package scio - class ScioContext - method pubsubSubscriptionWithAttributes,1.0,0.0,6.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package scio - class ScioContext - method pubsubTopicWithAttributes,1.0,0.0,6.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package scio - class ScioContext - method textFile,1.0,0.0,5.0,5.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - class ScioContext - method customInput,2.0,0.0,11.0,10.0,0.0,0.0,8.0,7.0,0.0,0.0,1.0,1.0
HEAD,0,package scio - class ScioContext - method read,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package scio - class ScioContext - method read,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.3333333333333333
HEAD,0,package scio - class ScioContext - method unionAll,3.0,9.0,10.0,10.0,0.0,0.0,7.0,4.0,6.0,1.0,1.0,1.0
HEAD,0,package scio - class ScioContext - method empty,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package scio - class ScioContext - method parallelize,1.0,0.0,11.0,11.0,0.0,0.0,6.0,4.0,0.0,0.0,1.0,1.0
HEAD,0,package scio - class ScioContext - method parallelize,1.0,0.0,8.0,8.0,0.0,0.0,8.0,5.0,0.0,0.0,1.0,1.0
HEAD,0,package scio - class ScioContext - method parallelizeTimestamped,1.0,0.0,6.0,6.0,0.0,0.0,8.0,5.0,0.0,0.0,1.0,1.0
HEAD,0,package scio - class ScioContext - method parallelizeTimestamped,1.0,0.0,9.0,9.0,0.0,0.0,9.0,5.0,0.0,0.0,1.0,1.0
HEAD,0,package scio - class ScioContext - method initCounter,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package scio - class ScioContext - method initCounter,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - class ScioContext - method initCounter,1.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - class DistCacheScioContext - method testDistCache,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - class DistCacheScioContext - method distCache,2.0,0.0,8.0,7.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0
HEAD,0,package scio - class DistCacheScioContext - method distCache,2.0,0.0,8.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0
HEAD,0,package values - object SCollection - method unionAll,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package values - object SCollection - method makeDoubleSCollectionFunctions,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package values - object SCollection - method makeDoubleSCollectionFunctions,1.0,0.0,4.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0
HEAD,0,package values - object SCollection - method makePairSCollectionFunctions,1.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
